E1,E2,E3,n1,n2
0.9432438584975898,0.9993439514189959,1.4968802296556531,0.0006091828844510019,0.0004311255416832864
0.8063451156951487,1.120078557729721,1.1691541085951032,0.0034039677865803247,0.000660480133164674
0.7294181323610246,1.0715541228652001,1.6045962924603372,0.0026656264299526815,0.0007971132651902735
0.8643022959120572,1.2476945374161006,1.2670288440305741,0.004300254419911653,0.00012473322181031109
0.8933973240666091,1.0121770419180394,1.1905778140760959,0.00472857207339257,0.00026542834145948293
0.7564254731871187,1.282069366797805,1.5186216327361763,0.0019686673381365837,0.000937778236810118
0.8353669038973748,0.9337217342108488,1.4081046687904746,0.002988001152407378,0.0007448417556472123
0.9703244437463582,1.1607044361531735,1.745355049194768,0.0013179437797516584,0.0005154038011096418
0.9974494583904743,1.0785253930836916,1.349487429484725,0.0018052636696957052,0.0005634756301529705
0.8230322128161788,1.2016399651765823,1.6819349152967333,0.0046003230288624766,0.00033409775709733366
0.7508014824241399,0.9501859560608864,1.2439979098271579,0.0014714940683916212,0.00019734818367287516
0.9232049891725183,1.1301963571459055,1.5869215273763984,0.0031063967836089433,0.0008697512940503658
0.877300875633955,0.9158084101974965,1.6627325747162103,0.003821740909479559,0.000954139765445143
0.7028102537617087,1.1895699586719275,1.3306027865037322,0.0010621106312610211,0.00028181980354711415
0.7770548593252897,1.0379021387547254,1.4436237081419678,0.003909981499891729,0.00047465273132547733
0.9495314741507173,1.2672655694186687,1.1003830225672573,0.0022401988524943595,0.0007040605378337204
0.9602482405491173,1.030941466242075,1.7053777295630426,0.002838861509226263,0.00013352645933628084
0.7881562544964253,1.2507834371179343,1.366917641973123,0.001168804614339024,0.000805904789455235
0.7101030551828443,0.902457357570529,1.5585392735898496,0.004860133658628911,0.0006130167221650481
0.884794985782355,1.1794904135167599,1.2318248102441431,0.002100228311493993,0.0003836604107171297
0.911584032792598,0.9680841047316789,1.3070901464205236,0.002534067065920681,0.0005241906147450208
0.7394186704419553,1.138866013288498,1.6458679316099734,0.004168691225349904,0.0007536268560215831
0.8148720570839941,1.0903139218688012,1.1291518360376358,0.0007583204405382276,0.0008903212765231729
